Read file config.yml
Running executor...
Load lib exp06_run_audit_14.so failed
Fail to execute function  due to load errorexp06_run_audit_14
Load lib exp06_run_audit_9.so failed
Fail to execute function  due to load errorexp06_run_audit_9
Load lib exp06_run_audit_26.so failed
Fail to execute function  due to load errorexp06_run_audit_26
Loaded function exp06_marketdata. lib_load_elasped: 24825, func_load_elasped: 6
Load lib exp06_run_audit_45.so failed
Fail to execute function  due to load errorexp06_run_audit_45
Load lib exp06_run_audit_15.so failed
Fail to execute function  due to load errorexp06_run_audit_15
Load lib exp06_run_audit_40.so failed
Fail to execute function  due to load errorexp06_run_audit_40
Load lib exp06_run_audit_15.so failed
Fail to execute function  due to load errorexp06_run_audit_15
Loaded function exp06_run_audit_14. lib_load_elasped: 352, func_load_elasped: 1
force_push: msg_id = 1915473, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 1915466, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 1915475, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 1915452, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 1915479, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 1915524, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 1915480, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 1915450, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 1915464, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 1915469, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 1915458, remain = 75, size = 64
force_push: msg_id = 1915517, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 1915575, remain = 11, size = 64
Send to executer failed.Send to executer failed.force_push: msg_id = 1915472, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 1915465, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 1915456, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 1915435, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 1915470, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 1915579, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 1915447, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 1915459, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 1915487, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 1915437, remain = -55, size = 9
Send to executer failed.force_push: msg_id = 1915488, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 1915493, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 1915570, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 1915532, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 1915439, remain = -55, size = 9
Send to executer failed.force_push: msg_id = 1915478, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 1915454, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 1915573, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 1915448, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 1915438, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 1915533, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 1915463, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 1915471, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 1915508, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 1915446, remain = -55, size = 9
Send to executer failed.force_push: msg_id = 1915457, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 1915461, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 1915486, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 1915492, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 1915515, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 1915502, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 1915491, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 1915511, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 1915482, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 1915474, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 1915467, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 1915574, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 1915576, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 1915436, remain = -55, size = 9
Send to executer failed.force_push: msg_id = 1915550, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 1915520, remain = 11, size = 64
Send to executer failed.
